"Measurement" "Mean" "StdDev"
"tBodyAccX" 0.274347260646063 -0.607783818968688
"tBodyAccY" -0.0177434918458972 -0.510191378479501
"tBodyAccZ" -0.108925032737064 -0.61306429934125
"tGravityAccX" 0.669226222373046 -0.965207115039421
"tGravityAccY" 0.00403879092060517 -0.95440802665318
"tGravityAccZ" 0.0921508600211059 -0.938900969424022
"tBodyAccJerkX" 0.0789381220355816 -0.63978102073413
"tBodyAccJerkY" 0.0079481069090025 -0.607971599340832
"tBodyAccJerkZ" -0.00467469823628666 -0.762820240449202
"tBodyGyroX" -0.0309824871713436 -0.721192598029789
"tBodyGyroY" -0.0747194855994359 -0.682653506899942
"tBodyGyroZ" 0.088357304227173 -0.653665674372188
"tBodyGyroJerkX" -0.0967092754729682 -0.731348533131935
"tBodyGyroJerkY" -0.0423181079782632 -0.786062320321895
"tBodyGyroJerkZ" -0.0548303497968374 -0.739932395222129
"tBodyAccMag" -0.54822165976717 -0.591225327146546
"tGravityAccMag" -0.54822165976717 -0.591225327146546
"tBodyAccJerkMag" -0.649417950650692 -0.627762945785391
"tBodyGyroMag" -0.60524856977632 -0.662533062898382
"tBodyGyroJerkMag" -0.762137610987416 -0.77799317279698
"fBodyAccX" -0.622761658493734 -0.603356276555826
"fBodyAccY" -0.53749328145871 -0.528420009576204
"fBodyAccZ" -0.665033506271952 -0.617874813333395
"fBodyAccJerkX" -0.656713524546605 -0.654979816705833
"fBodyAccJerkY" -0.628961179980356 -0.612243590244114
"fBodyAccJerkZ" -0.743608246170053 -0.780928428167213
"fBodyGyroX" -0.672094306818974 -0.738594816501343
"fBodyGyroY" -0.70621663959074 -0.674226934551517
"fBodyGyroZ" -0.644192752866115 -0.690446312501126
"fBodyAccMag" -0.585962696268539 -0.659531216655476
"fBodyBodyAccJerkMag" -0.620789916331592 -0.640076803144351
"fBodyBodyGyroMag" -0.697411069729937 -0.699976372277643
"fBodyBodyGyroJerkMag" -0.779767633083527 -0.792190209274884
